Date,X_AU,Y_AU,Z_AU,VX_AU_d,VY_AU_d,VZ_AU_d,MJD_TDB
2025-Nov-25 00:00:00.0000,1.046949883427266,2.87776876803103,1.149614309235288,-0.008959559656516791,0.002318169529569547,0.0014488926063853,61004.0000
2025-Nov-25 06:00:00.0000,1.044709716459319,2.878347550131875,1.149976228691988,-0.008961775324908196,0.002312086999636588,0.001446462890281246,61004.2500
2025-Nov-25 12:00:00.0000,1.042468996145957,2.878924811392187,1.150337540602006,-0.008963986419560675,0.002306002805773191,0.00144403223310828,61004.5000
2025-Nov-25 18:00:00.0000,1.040227723630826,2.879500551396334,1.150698244730211,-0.008966192938769109,0.002299916950781796,0.001441600635963087,61004.7500
2025-Nov-26 00:00:00.0000,1.037985900058001,2.880074769729384,1.151058340841748,-0.00896839488083568,0.002293829437464444,0.001439168099942662,61005.0000
2025-Nov-26 06:00:00.0000,1.035743526571978,2.880647465977106,1.151417828702034,-0.008970592244069691,0.002287740268622467,0.001436734626144123,61005.2500
2025-Nov-26 12:00:00.0000,1.033500604317675,2.881218639725968,1.151776708076763,-0.008972785026787411,0.002281649447056238,0.001434300215664566,61005.5000
2025-Nov-26 18:00:00.0000,1.031257134440433,2.88178829056314,1.152134978731901,-0.008974973227311835,0.00227555697556484,0.00143186486960086,61005.7500
2025-Nov-27 00:00:00.0000,1.029013118086008,2.88235641807649,1.152492640433689,-0.008977156843972451,0.002269462856945846,0.001429428589049502,61006.0000
2025-Nov-27 06:00:00.0000,1.026768556400574,2.882923021854585,1.152849692948643,-0.008979335875105002,0.002263367093995063,0.001426991375106465,61006.2500
2025-Nov-27 12:00:00.0000,1.024523450530721,2.883488101486692,1.153206136043551,-0.008981510319051223,0.002257269689506333,0.001424553228867053,61006.5000
2025-Nov-27 18:00:00.0000,1.022277801623452,2.884051656562777,1.153561969485477,-0.008983680174158546,0.002251170646271332,0.001422114151425772,61006.7500
2025-Nov-28 00:00:00.0000,1.020031610826182,2.884613686673498,1.153917193041755,-0.008985845438779819,0.0022450699670794,0.001419674143876205,61007.0000
2025-Nov-28 06:00:00.0000,1.017784879286739,2.885174191410218,1.154271806479996,-0.008988006111273001,0.002238967654717394,0.001417233207310903,61007.2500
2025-Nov-28 12:00:00.0000,1.01553760815336,2.885733170364992,1.154625809568083,-0.008990162190000855,0.002232863711969546,0.001414791342821278,61007.5000
2025-Nov-28 18:00:00.0000,1.013289798574689,2.88629062313057,1.154979202074171,-0.008992313673330634,0.00222675814161739,0.00141234855149753,61007.7500
2025-Nov-29 00:00:00.0000,1.01104145169978,2.886846549300399,1.155331983766687,-0.008994460559633759,0.00222065094643966,0.001409904834428559,61008.0000
2025-Nov-29 06:00:00.0000,1.008792568678093,2.887400948468619,1.155684154414331,-0.008996602847285508,0.002214542129212235,0.001407460192701906,61008.2500
2025-Nov-29 12:00:00.0000,1.006543150659493,2.887953820230065,1.156035713786074,-0.008998740534664708,0.002208431692708106,0.001405014627403698,61008.5000
2025-Nov-29 18:00:00.0000,1.004293198794252,2.888505164180264,1.156386661651158,-0.009000873620153404,0.00220231963969735,0.001402568139618606,61008.7500
2025-Nov-30 00:00:00.0000,1.002042714233042,2.889054979915436,1.156736997779099,-0.009003002102136575,0.002196205972947143,0.001400120730429819,61009.0000
2025-Nov-30 06:00:00.0000,0.9997916981269431,2.88960326703249,1.15708672193968,-0.009005125979001816,0.00219009069522177,0.001397672400919013,61009.2500
2025-Nov-30 12:00:00.0000,0.9975401516274353,2.890150025129028,1.157435833902955,-0.00900724524913906,0.002183973809282671,0.001395223152166355,61009.5000
2025-Nov-30 18:00:00.0000,0.9952880758864014,2.890695253803343,1.157784333439249,-0.009009359910940288,0.002177855317888493,0.001392772985250492,61009.7500
